# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-Mineplex-Core-Patch

chat.off.lvl, boolean, 00
chat.on.lvl, long, 0000000000000005
chat.stan, boolean, 01
coins.707swiezyyy, double, 3FC70A3D70A3D70A
coins.<player>, long, 0000000000000000
coins.kraftowany, double, 3FDCCCCCCCCCCCCC
diamond.<player>, long, 0000000000000000
diamond.kasp3r3k, double, 3FF0000000000000
diamond.kraftowany, double, 4010000000000000
diamond.kupis01, double, 3FF0000000000000
drop.<player>.lvl, long, 0000000000000001
drop.<player>.punkty, long, 0000000000000000
drop.kasp3r3k.lvl, long, 0000000000000002
drop.kasp3r3k.punkty, double, 4046000000000000
drop.kraftowany.lvl, long, 000000000000001E
drop.kraftowany.punkty, long, 0000000000002711
drop.kupis01.lvl, long, 0000000000000000
drop.kupis01.punkty, double, 4037000000000000
drop.vip.wlaczony, boolean, 00
emerald.<player>, long, 0000000000000000
emerald.kasp3r3k, double, 4010000000000000
emerald.kraftowany, double, 402A000000000000
emerald.kupis01, double, 4018000000000000
ender.kraftowany.kom, boolean, 00
j0ined::dawon123, boolean, 01
j0ined::kasp3r3k, boolean, 01
j0ined::kraftowany, boolean, 01
j0ined::mrmusiek, boolean, 01
j0ined::pepq_, boolean, 01
j0ined::revist1337, boolean, 01
j0ined::rqb, boolean, 01
j0ined::shamonfejm, boolean, 01
j0ined::szwagru, boolean, 01
j0ined::tomson_, boolean, 01
j0ined::xpatrykplayx, boolean, 01
j0inx, double, 4026000000000000
jobs.budowniczy.<player>, boolean, 00
jobs.budowniczy.kraftowany, boolean, 00
jobs.drwal.<player>, boolean, 00
jobs.drwal.kraftowany, boolean, 00
jobs.gornik.<player>, boolean, 00
jobs.gornik.kraftowany, boolean, 01
jobs.kopacz.<player>, boolean, 00
jobs.kopacz.kraftowany, boolean, 00
jobs.lowca.<player>, boolean, 00
jobs.lowca.kraftowany, boolean, 00
jobs.wybierz.<player>, boolean, 00
jobs.wybierz.kraftowany, boolean, 01
jobs.zabojca.<player>, boolean, 00
jobs.zabojca.kraftowany, boolean, 00
kamien.<player>, long, 0000000000000000
